平台,C门店ID,平台ID,最新评分,均值评分,最新店铺分,记录数
京东,C00927,17662740,5.0,5.0,,1
京东,C00930,16914071,4.0,4.0,,1
京东,C00952,16384071,3.73,3.73,,1
京东,C00986,16189135,5.0,5.0,,1
京东,C01032,16638026,4.83,4.83,,1
京东,C01055,16256698,4.2,4.2,,1
京东,C01066,15968014,4.4,4.4,,1
京东,C01072,16384024,4.0,4.0,,1
京东,C01073,16638049,4.78,4.78,,1
京东,C01099,16638050,4.0,4.0,,1
京东,C01122,16189131,3.67,3.67,,1
京东,C01139,16638027,5.0,5.0,,1
京东,C01216,17633468,5.0,5.0,,1
京东,C01301,15967989,4.88,4.88,,1
京东,C01373,16638069,4.8,4.8,,1
京东,C01403,16914077,5.0,5.0,,1
京东,C01848,14657072,5.0,5.0,,1
京东,C01851,16638059,3.67,3.67,,1
京东,C01861,17755256,4.0,4.0,,1
京东,C01933,15968019,5.0,5.0,,1
京东,C01936,15905446,5.0,5.0,,1
京东,C01957,15967953,3.67,3.67,,1
京东,C01986,15905476,5.0,5.0,,1
京东,C02003,14700210,4.55,4.55,,1
京东,C02005,16256684,5.0,5.0,,1
京东,C02007,17092253,5.0,5.0,,1
京东,C02011,16389603,4.2,4.2,,1
京东,C02038,15967971,5.0,5.0,,1
京东,C02043,14594542,3.67,3.67,,1
京东,C02046,16638078,4.88,4.88,,1
京东,C02049,15905486,4.36,4.36,,1
京东,C02053,14594547,5.0,5.0,,1
京东,C02075,14309298,5.0,5.0,,1
京东,C02082,15967947,4.25,4.25,,1
京东,C02087,14594557,4.8,4.8,,1
京东,C02095,15967978,5.0,5.0,,1
京东,C02135,14725184,3.6,3.6,,1
京东,C02139,15905477,4.5,4.5,,1
京东,C02180,14657075,4.67,4.67,,1
京东,C02183,15861064,4.73,4.73,,1
京东,C02192,14594560,4.25,4.25,,1
京东,C02203,15905505,3.67,3.67,,1
京东,C02210,14657073,4.74,4.74,,1
京东,C02216,14725167,4.0,4.0,,1
京东,C02218,16638053,5.0,5.0,,1
京东,C02221,15967966,5.0,5.0,,1
京东,C02229,15905474,3.86,3.86,,1
京东,C02231,17082651,4.25,4.25,,1
京东,C02236,15861078,5.0,5.0,,1
京东,C02242,14394343,5.0,5.0,,1
京东,C02247,16384079,4.71,4.71,,1
京东,C02253,14876898,4.08,4.08,,1
京东,C02256,14394341,4.7,4.7,,1
京东,C02266,14823393,4.67,4.67,,1
京东,C02276,16638067,4.9,4.9,,1
京东,C02279,15905463,5.0,5.0,,1
京东,C02299,17146733,4.5,4.5,,1
京东,C02323,16914075,4.94,4.94,,1
京东,C02333,16189109,3.7,3.7,,1
京东,C02386,15967940,4.56,4.56,,1
京东,C02395,14594563,3.5,3.5,,1
京东,C02448,15967964,5.0,5.0,,1
京东,C02456,15905502,4.25,4.25,,1
京东,C02477,16256741,3.67,3.67,,1
京东,C02498,15905495,4.0,4.0,,1
京东,C02513,15122753,3.75,3.75,,1
京东,C02535,16130437,3.56,3.56,,1
京东,C02536,15905497,4.85,4.85,,1
京东,C02539,14725215,3.67,3.67,,1
京东,C02555,15967959,5.0,5.0,,1
京东,C02567,14594559,4.43,4.43,,1
京东,C02583,15905470,5.0,5.0,,1
京东,C02647,14725254,4.24,4.24,,1
京东,C02652,15861074,4.43,4.43,,1
京东,C02668,15968024,4.5,4.5,,1
京东,C02683,16383945,5.0,5.0,,1
京东,C02690,14309306,4.78,4.78,,1
京东,C02712,16019848,3.67,3.67,,1
京东,C02783,14317838,3.57,3.57,,1
京东,C02805,15678871,4.22,4.22,,1
京东,C02807,14876895,4.36,4.36,,1
京东,C02810,15122755,4.33,4.33,,1
京东,C02826,15494836,5.0,5.0,,1
京东,C02842,15967984,3.6,3.6,,1
京东,C02849,14309305,4.91,4.91,,1
京东,C02866,14876896,5.0,5.0,,1
京东,C02872,15905515,4.2,4.2,,1
京东,C02889,14594544,5.0,5.0,,1
京东,C02892,15905993,4.0,4.0,,1
京东,C02919,14594566,5.0,5.0,,1
京东,C02923,14725165,4.6,4.6,,1
京东,C02925,16383967,4.88,4.88,,1
京东,C02936,14725163,4.67,4.67,,1
京东,C02943,15968025,5.0,5.0,,1
京东,C02978,16638100,5.0,5.0,,1
京东,C03013,17592439,5.0,5.0,,1
京东,C03020,17146734,3.5,3.5,,1
京东,C03031,14594551,4.0,4.0,,1
京东,C03033,15122781,3.5,3.5,,1
京东,C03037,17279849,4.0,4.0,,1
京东,C03052,14823729,5.0,5.0,,1
京东,C03099,14876893,4.31,4.31,,1
京东,C03106,15967975,4.56,4.56,,1
京东,C03109,15905426,4.0,4.0,,1
京东,C03121,14594541,4.5,4.5,,1
京东,C03132,16638168,4.33,4.33,,1
京东,C03463,16019921,4.32,4.32,,1
京东,C03467,15967974,5.0,5.0,,1
京东,C03607,14204946,4.33,4.33,,1
京东,C03612,14305196,5.0,5.0,,1
京东,C03630,16638064,5.0,5.0,,1
京东,C03761,14700214,5.0,5.0,,1
京东,C03765,15861066,4.5,4.5,,1
京东,C03818,15967927,4.33,4.33,,1
京东,C03897,14264573,3.9,3.9,,1
京东,C03943,14292466,4.56,4.56,,1
京东,C03951,16914091,5.0,5.0,,1
京东,C03967,14725191,5.0,5.0,,1
京东,C03978,14317837,4.14,4.14,,1
京东,C04067,15968185,4.5,4.5,,1
京东,C04070,15967905,4.32,4.32,,1
京东,C04096,14270457,4.13,4.13,,1
京东,C04110,16383950,5.0,5.0,,1
京东,C04111,16383996,4.0,4.0,,1
京东,C04120,16638143,5.0,5.0,,1
京东,C04123,14394339,4.81,4.81,,1
京东,C04132,16189132,3.83,3.83,,1
京东,C04133,16638148,5.0,5.0,,1
京东,C04169,14594555,3.67,3.67,,1
京东,C04203,15967946,5.0,5.0,,1
京东,C04225,16016520,5.0,5.0,,1
京东,C04246,14264569,3.57,3.57,,1
京东,C04267,16256730,5.0,5.0,,1
京东,C04363,16391140,5.0,5.0,,1
京东,C04390,16638128,3.55,3.55,,1
京东,C04450,15967907,3.6,3.6,,1
京东,C04561,14725166,3.5,3.5,,1
京东,C04616,17604987,4.71,4.71,,1
京东,C04683,14264570,5.0,5.0,,1
京东,C04749,15968042,5.0,5.0,,1
京东,C04865,16384031,4.0,4.0,,1
京东,C04946,16383952,5.0,5.0,,1
京东,C05017,17082652,5.0,5.0,,1
京东,C05047,14264562,5.0,5.0,,1
京东,C05056,15968003,3.75,3.75,,1
京东,C05093,16638230,5.0,5.0,,1
京东,C05106,16170645,4.5,4.5,,1
京东,C05128,16914067,5.0,5.0,,1
京东,C05138,14270468,4.27,4.27,,1
京东,C05140,15905777,5.0,5.0,,1
京东,C05169,14292465,5.0,5.0,,1
京东,C05231,14657070,3.5,3.5,,1
京东,C05237,16256696,4.2,4.2,,1
京东,C05336,15967944,5.0,5.0,,1
京东,C05368,16130460,3.67,3.67,,1
京东,C05402,15905435,5.0,5.0,,1
京东,C05446,15967911,5.0,5.0,,1
京东,C05461,16256678,4.21,4.21,,1
京东,C05477,16383990,3.5,3.5,,1
京东,C05483,15861062,3.75,3.75,,1
京东,C05555,16383959,3.67,3.67,,1
京东,C05703,16130453,4.0,4.0,,1
京东,C05727,16189141,5.0,5.0,,1
京东,C05736,15861057,3.5,3.5,,1
京东,C05780,20200808,4.8,4.8,,1
京东,C05798,15967941,4.0,4.0,,1
京东,C05817,16638124,5.0,5.0,,1
京东,C06008,16384008,5.0,5.0,,1
京东,C06013,16189137,5.0,5.0,,1
京东,C06017,16256693,5.0,5.0,,1
京东,C06037,16383943,5.0,5.0,,1
京东,C06071,17210596,4.13,4.13,,1
京东,C06082,16130468,3.67,3.67,,1
京东,C06117,16130448,3.95,3.95,,1
京东,C06126,15905430,5.0,5.0,,1
京东,C06138,16638136,5.0,5.0,,1
京东,C06228,16189122,5.0,5.0,,1
京东,C06258,15905445,5.0,5.0,,1
京东,C06259,14594565,4.67,4.67,,1
京东,C06352,15905422,5.0,5.0,,1
京东,C06385,15967935,5.0,5.0,,1
京东,C06403,16256710,5.0,5.0,,1
京东,C06423,14331986,5.0,5.0,,1
京东,C06427,15385936,3.6,3.6,,1
京东,C06480,15905481,3.75,3.75,,1
京东,C06558,16638111,5.0,5.0,,1
京东,C06626,15905494,5.0,5.0,,1
京东,C06724,16130439,5.0,5.0,,1
京东,C06734,16257048,5.0,5.0,,1
京东,C06841,15905518,4.0,4.0,,1
京东,C07072,14930734,5.0,5.0,,1
京东,C07119,16384114,4.0,4.0,,1
京东,C07120,14311012,5.0,5.0,,1
京东,C07160,15861086,4.75,4.75,,1
京东,C07162,16638122,4.7,4.7,,1
京东,C07222,16189385,3.5,3.5,,1
京东,C07294,17146731,5.0,5.0,,1
京东,C07303,14594558,4.44,4.44,,1
京东,C07312,16638145,4.5,4.5,,1
京东,C07581,16914082,4.33,4.33,,1
京东,C07582,14543595,5.0,5.0,,1
京东,C07605,23824713,4.9,4.9,,1
京东,C07606,16256743,3.56,3.56,,1
京东,C07642,16638105,5.0,5.0,,1
京东,C07646,14262335,4.56,4.56,,1
京东,C07661,14270470,4.5,4.5,,1
京东,C07760,16256717,5.0,5.0,,1
京东,C07764,17476405,5.0,5.0,,1
京东,C07812,14657078,5.0,5.0,,1
京东,C07813,14264564,5.0,5.0,,1
京东,C07887,17092252,5.0,5.0,,1
京东,C07960,16638036,5.0,5.0,,1
京东,C08045,16384015,3.81,3.81,,1
京东,C08048,16638094,4.0,4.0,,1
京东,C08076,16189133,5.0,5.0,,1
京东,C08122,15968030,3.5,3.5,,1
京东,C08198,14270469,5.0,5.0,,1
京东,C08234,15905421,4.17,4.17,,1
京东,C08311,16638028,4.43,4.43,,1
京东,C08346,16914073,5.0,5.0,,1
京东,C08350,16638133,4.0,4.0,,1
京东,C08374,15200662,4.07,4.07,,1
京东,C08553,16638025,5.0,5.0,,1
京东,C08570,14520834,5.0,5.0,,1
京东,C08571,14262339,5.0,5.0,,1
京东,C08708,15967949,4.0,4.0,,1
京东,C08735,14270472,5.0,5.0,,1
京东,C08796,14305198,3.5,3.5,,1
京东,C08881,16256703,5.0,5.0,,1
京东,C08948,17604989,4.5,4.5,,1
京东,C09039,14305205,4.64,4.64,,1
京东,C09099,16638039,5.0,5.0,,1
京东,C09104,16019775,5.0,5.0,,1
京东,C09146,14594553,5.0,5.0,,1
京东,C09165,16257047,3.67,3.67,,1
京东,C09193,14261048,5.0,5.0,,1
京东,C09208,16256732,5.0,5.0,,1
京东,C09267,16914074,5.0,5.0,,1
京东,C09342,16384022,4.82,4.82,,1
京东,C09375,14270462,4.6,4.6,,1
京东,C09391,15968000,5.0,5.0,,1
京东,C09404,15967914,4.25,4.25,,1
京东,C09431,16638127,3.5,3.5,,1
京东,C09505,16384115,4.86,4.86,,1
京东,C09523,14264568,3.67,3.67,,1
京东,C09547,15905465,4.0,4.0,,1
京东,C09549,16256679,3.75,3.75,,1
京东,C09551,15968011,4.67,4.67,,1
京东,C09566,16638117,4.67,4.67,,1
京东,C09599,14725185,5.0,5.0,,1
京东,C09646,16189142,5.0,5.0,,1
京东,C09673,14261050,4.43,4.43,,1
京东,C09704,16638146,4.0,4.0,,1
京东,C09764,14394599,3.86,3.86,,1
京东,C09919,14594564,4.73,4.73,,1
京东,C10066,14876901,4.86,4.86,,1
京东,C10069,16170850,5.0,5.0,,1
京东,C10074,17633470,4.0,4.0,,1
京东,C10088,14270473,5.0,5.0,,1
京东,C10169,16638034,5.0,5.0,,1
京东,C10177,16638163,3.6,3.6,,1
京东,C10182,16389398,4.0,4.0,,1
京东,C10183,16190050,5.0,5.0,,1
京东,C10218,14264567,5.0,5.0,,1
京东,C10229,14394345,5.0,5.0,,1
京东,C10243,15967925,3.55,3.55,,1
京东,C10283,14657069,5.0,5.0,,1
京东,C10284,14657280,5.0,5.0,,1
京东,C10301,15905507,5.0,5.0,,1
京东,C10316,15968008,5.0,5.0,,1
京东,C10320,14270460,5.0,5.0,,1
京东,C10332,15905464,4.25,4.25,,1
京东,C10337,14948038,5.0,5.0,,1
京东,C10349,15861056,5.0,5.0,,1
京东,C10417,16130471,5.0,5.0,,1
京东,C10427,16638171,5.0,5.0,,1
京东,C10434,15905510,5.0,5.0,,1
京东,C10462,15905506,5.0,5.0,,1
京东,C10499,15905776,5.0,5.0,,1
京东,C10562,15122757,3.56,3.56,,1
京东,C10567,14262338,4.29,4.29,,1
京东,C10583,14264563,4.53,4.53,,1
京东,C10627,14657079,3.5,3.5,,1
京东,C10628,15967932,5.0,5.0,,1
京东,C10630,15967942,5.0,5.0,,1
京东,C10822,16256687,5.0,5.0,,1
京东,C10844,16256677,3.67,3.67,,1
京东,C10897,16256691,5.0,5.0,,1
京东,C10915,14657311,5.0,5.0,,1
京东,C10998,16638080,5.0,5.0,,1
京东,C11006,16383951,5.0,5.0,,1
京东,C11008,14725179,3.93,3.93,,1
京东,C11064,16638131,5.0,5.0,,1
京东,C11106,16257046,5.0,5.0,,1
京东,C11128,19294522,5.0,5.0,,1
京东,C11134,15967929,4.89,4.89,,1
京东,C11141,16384039,3.5,3.5,,1
京东,C11187,16130438,5.0,5.0,,1
京东,C11251,15905480,4.07,4.07,,1
京东,C11259,17146732,5.0,5.0,,1
京东,C11328,15905485,4.33,4.33,,1
京东,C11330,15967909,4.2,4.2,,1
京东,C11343,16256682,3.67,3.67,,1
京东,C11350,16256674,5.0,5.0,,1
京东,C11369,16638044,4.0,4.0,,1
京东,C11397,16019780,5.0,5.0,,1
京东,C11413,17552624,4.75,4.75,,1
京东,C11437,16256690,4.5,4.5,,1
京东,C11441,16256683,5.0,5.0,,1
京东,C11442,16256700,4.0,4.0,,1
京东,C11472,15385831,4.2,4.2,,1
京东,C11560,16018611,3.67,3.67,,1
京东,C11565,16638167,5.0,5.0,,1
京东,C11581,15905478,4.0,4.0,,1
京东,C11596,16189136,4.91,4.91,,1
京东,C11603,15967923,4.53,4.53,,1
京东,C11609,16383979,5.0,5.0,,1
京东,C11620,16638142,5.0,5.0,,1
京东,C11640,16638033,4.75,4.75,,1
京东,C11709,16130440,5.0,5.0,,1
京东,C11745,15968187,5.0,5.0,,1
京东,C11761,16190067,4.0,4.0,,1
京东,C11762,16383978,5.0,5.0,,1
京东,C11770,15967931,5.0,5.0,,1
京东,C11771,16256709,4.48,4.48,,1
京东,C11792,16638119,5.0,5.0,,1
京东,C11810,16189147,5.0,5.0,,1
京东,C11819,16130466,5.0,5.0,,1
京东,C11840,16638085,4.67,4.67,,1
京东,C11889,15967939,4.17,4.17,,1
京东,C11896,17210598,5.0,5.0,,1
京东,C11932,17450642,5.0,5.0,,1
京东,C11938,16638138,4.75,4.75,,1
京东,C11945,16638035,5.0,5.0,,1
京东,C12029,16389610,4.0,4.0,,1
京东,C12033,16384083,4.46,4.46,,1
京东,C12039,15967919,4.33,4.33,,1
京东,C12057,14657198,5.0,5.0,,1
京东,C12078,16638137,4.5,4.5,,1
京东,C12079,15905444,4.88,4.88,,1
京东,C12097,15861080,3.67,3.67,,1
京东,C12119,16189130,5.0,5.0,,1
京东,C12210,16383942,5.0,5.0,,1
京东,C12240,15905503,3.75,3.75,,1
京东,C12251,14270474,5.0,5.0,,1
京东,C12257,16256738,5.0,5.0,,1
京东,C12279,15967957,3.6,3.6,,1
京东,C12377,15967924,4.0,4.0,,1
京东,C12452,17390525,4.0,4.0,,1
京东,C12479,16130457,3.67,3.67,,1
京东,C12488,15967915,5.0,5.0,,1
京东,C12509,17390626,5.0,5.0,,1
京东,C12566,15861059,5.0,5.0,,1
京东,C12575,14262336,5.0,5.0,,1
京东,C12578,15967988,5.0,5.0,,1
京东,C12581,17662742,5.0,5.0,,1
京东,C12587,16638125,3.67,3.67,,1
京东,C12595,15967992,5.0,5.0,,1
京东,C12610,16384038,3.67,3.67,,1
京东,C12613,16189138,3.8,3.8,,1
京东,C12685,14311018,4.2,4.2,,1
京东,C12696,16638099,4.5,4.5,,1
京东,C12709,16638081,3.57,3.57,,1
京东,C12729,17390512,3.67,3.67,,1
京东,C12740,15905473,4.78,4.78,,1
京东,C12767,15967987,5.0,5.0,,1
京东,C12886,16638166,4.33,4.33,,1
京东,C12898,16914080,4.4,4.4,,1
京东,C12908,16130616,3.55,3.55,,1
京东,C12935,17210592,4.11,4.11,,1
京东,C12970,16384045,3.6,3.6,,1
京东,C13019,16189134,5.0,5.0,,1
京东,C13067,16189387,5.0,5.0,,1
京东,C13103,17390535,3.67,3.67,,1
京东,C13117,14520836,4.56,4.56,,1
京东,C13122,14725182,4.0,4.0,,1
京东,C13153,15861055,3.67,3.67,,1
京东,C13175,15173275,5.0,5.0,,1
京东,C13177,14876891,3.83,3.83,,1
京东,C13179,14725180,4.0,4.0,,1
京东,C13241,14725188,5.0,5.0,,1
京东,C13327,17662733,3.67,3.67,,1
京东,C13357,15861110,5.0,5.0,,1
京东,C13362,16130447,4.29,4.29,,1
京东,C13392,14725181,4.0,4.0,,1
京东,C13427,16638161,4.0,4.0,,1
京东,C13430,14394335,3.67,3.67,,1
京东,C13437,17390640,5.0,5.0,,1
京东,C13439,16638106,3.67,3.67,,1
京东,C13447,15807734,5.0,5.0,,1
京东,C13449,16257083,5.0,5.0,,1
京东,C13509,15905484,4.08,4.08,,1
京东,C13516,14725162,5.0,5.0,,1
京东,C13522,16384043,4.0,4.0,,1
京东,C13543,15861073,4.67,4.67,,1
京东,C13586,15967913,5.0,5.0,,1
京东,C13595,16914086,4.8,4.8,,1
京东,C13618,14725301,4.08,4.08,,1
京东,C13622,15968043,5.0,5.0,,1
京东,C13673,15967997,3.5,3.5,,1
京东,C13678,14594574,4.7,4.7,,1
京东,C13693,16638055,5.0,5.0,,1
京东,C13716,17390585,5.0,5.0,,1
京东,C13721,16638091,5.0,5.0,,1
京东,C13745,15905517,4.0,4.0,,1
京东,C13747,16189123,4.6,4.6,,1
京东,C13781,16190095,5.0,5.0,,1
京东,C13786,15905498,4.6,4.6,,1
京东,C13822,15905452,5.0,5.0,,1
京东,C13823,17335900,3.67,3.67,,1
京东,C13826,20492932,5.0,5.0,,1
京东,C13865,15967916,5.0,5.0,,1
京东,C13877,15967948,5.0,5.0,,1
京东,C13893,16914064,5.0,5.0,,1
京东,C13906,14594561,4.25,4.25,,1
京东,C13912,17390514,5.0,5.0,,1
京东,C13913,15385827,5.0,5.0,,1
京东,C13936,16638031,5.0,5.0,,1
京东,C13939,16257044,5.0,5.0,,1
京东,C13951,16914072,4.58,4.58,,1
京东,C13970,15967986,4.0,4.0,,1
京东,C14033,16638169,4.8,4.8,,1
京东,C14039,17450635,4.62,4.62,,1
京东,C14046,14394336,3.89,3.89,,1
京东,C14073,19502195,4.0,4.0,,1
京东,C14117,15967956,3.5,3.5,,1
京东,C14196,16638095,4.9,4.9,,1
京东,C14250,17775709,4.21,4.21,,1
京东,C14264,15967996,4.0,4.0,,1
京东,C14297,15861061,3.5,3.5,,1
京东,C14299,23540939,4.8,4.8,,1
京东,C14307,17552628,5.0,5.0,,1
京东,C14318,16189148,4.83,4.83,,1
京东,C14321,16638093,5.0,5.0,,1
京东,C14345,17552629,4.9,4.9,,1
京东,C14347,16130475,3.5,3.5,,1
京东,C14349,17904388,4.75,4.75,,1
京东,C14368,17279852,3.8,3.8,,1
京东,C14381,17335901,3.86,3.86,,1
京东,C14390,17279853,5.0,5.0,,1
京东,C14409,17450639,4.0,4.0,,1
京东,C14446,17450636,5.0,5.0,,1
京东,C14464,17727227,3.67,3.67,,1
京东,C14485,17727229,4.5,4.5,,1
京东,C14559,19553939,3.63,3.63,,1
京东,C14590,14394333,4.36,4.36,,1
京东,C14603,19811043,4.0,4.0,,1
京东,C14627,19748493,5.0,5.0,,1
京东,C14633,16638038,5.0,5.0,,1
京东,C14709,21492023,4.33,4.33,,1
京东,C14793,22705662,4.5,4.5,,1
京东,C14873,15968022,5.0,5.0,,1
京东,C14905,16914078,4.88,4.88,,1
京东,C14991,15160694,4.5,4.5,,1
京东,C14996,23104604,3.67,3.67,,1
京东,C14999,15905508,4.0,4.0,,1
京东,C15002,23403352,5.0,5.0,,1
京东,C15041,16020071,4.31,4.31,,1
京东,,15861063,5.0,5.0,,1
京东,,15905456,5.0,5.0,,1
京东,,15905525,5.0,5.0,,1
京东,,17210594,5.0,5.0,,1
京东,,14270465,4.93,4.93,,1
京东,,16384042,4.71,4.71,,1
京东,,16130435,4.69,4.69,,1
京东,,16189112,4.63,4.63,,1
京东,,15905442,4.57,4.57,,1
京东,,14725187,4.56,4.56,,1
京东,,15967967,3.95,3.95,,1
京东,,14725193,3.75,3.75,,1
京东,,15968182,3.67,3.67,,1
京东,,16189144,3.67,3.67,,1
京东,,16130451,3.5,3.5,,1
淘宝,C00002,506358037,4.7,4.676666666666667,,30
淘宝,C00003,502522594,4.5,4.533333333333333,,30
淘宝,C00005,931871,4.6,4.586666666666667,,30
淘宝,C00006,506194544,4.5,4.546666666666667,,30
淘宝,C00007,161779863,5.0,3.3333333333333335,,30
淘宝,C00008,2075812230,4.8,4.823333333333333,,30
淘宝,C00009,336568420,0.0,0.0,,30
淘宝,C00010,507607150,0.0,4.246666666666667,,30
淘宝,C00011,1123078851,0.0,2.6666666666666665,,30
淘宝,C00013,336709638,5.0,5.0,,30
淘宝,C00015,506652866,0.0,0.0,,3
淘宝,C00016,507103934,4.9,4.583333333333333,,30
淘宝,C00021,2089556403,4.5,4.503333333333333,,30
淘宝,C00023,336591217,5.0,5.0,,30
淘宝,C00025,1116953177,0.0,1.3333333333333333,,30
淘宝,C00033,1106084220,5.0,1.1666666666666667,,30
淘宝,C00039,931870,4.7,4.663333333333333,,30
淘宝,C00046,162850842,4.2,4.166666666666667,,30
淘宝,C00058,506249986,5.0,4.333333333333333,,30
淘宝,C00067,506638011,5.0,4.833333333333333,,30
淘宝,C00081,1123375989,4.3,4.13,,30
淘宝,C00117,507108745,0.0,0.0,,30
淘宝,C00125,161816936,5.0,2.3333333333333335,,30
淘宝,C00126,301689519,4.8,4.763333333333334,,30
淘宝,C00127,1126046955,5.0,5.0,,30
淘宝,C00147,506178691,0.0,2.5,,30
淘宝,C00148,1348179985,5.0,4.833333333333333,,30
淘宝,C00149,2055227557,0.0,0.0,,12
淘宝,C00149,543099201,0.0,0.0,,30
淘宝,C00162,500732610,4.6,4.4766666666666675,,30
淘宝,C00170,1447398,4.8,4.62,,30
淘宝,C00171,1447432,0.0,0.0,,1
淘宝,C00173,161647570,4.8,4.823333333333333,,30
淘宝,C00177,310145960,0.0,0.0,,30
淘宝,C00182,1447378,3.5,0.7266666666666667,,30
淘宝,C00189,161623473,3.3,3.6966666666666663,,30
淘宝,C00211,1447400,4.0,4.216666666666667,,30
淘宝,C00222,152823992,4.5,4.676666666666667,,30
淘宝,C00227,1447427,3.7,3.8433333333333333,,30
淘宝,C00230,144909683,5.0,1.0,,30
淘宝,C00236,507174500,0.0,0.0,,2
淘宝,C00241,161779861,4.0,4.4,,30
淘宝,C00250,1123078824,4.3,4.54,,30
淘宝,C00258,500822270,4.7,4.716666666666667,,30
淘宝,C00267,144621511,0.0,0.0,,30
淘宝,C00288,1447404,5.0,4.166666666666667,,30
淘宝,C00292,1447399,5.0,5.0,,30
淘宝,C00295,507676766,5.0,5.0,,30
淘宝,C00298,174357098,4.7,4.253333333333333,,30
淘宝,C00310,535560114,0.0,0.0,,30
淘宝,C00312,1447418,2.8,3.53103448275862,,29
淘宝,C00320,513830993,0.0,0.0,,2
淘宝,C00321,1447393,3.8,3.5166666666666666,,30
淘宝,C00330,2238401,5.0,4.953333333333333,,30
淘宝,C00346,1178307326,0.0,0.0,,5
淘宝,C00350,1447420,4.9,4.97,,30
淘宝,C00356,542736188,0.0,0.0,,19
淘宝,C00362,507674720,0.0,0.0,,30
淘宝,C00369,1123085702,4.5,0.15,,30
淘宝,C00379,1123307135,0.0,0.0,,7
淘宝,C00385,157415878,0.0,0.0,,30
淘宝,C00392,509671897,4.5,4.53,,30
淘宝,C00398,2074922859,0.0,0.0,,30
淘宝,C00401,158798691,4.8,4.873333333333333,,30
淘宝,C00402,2046513492,4.1,4.333333333333333,,30
淘宝,C00405,1157897151,5.0,4.666666666666667,,30
淘宝,C00407,303675893,4.8,4.88,,30
淘宝,C00412,161779862,5.0,4.886666666666667,,30
淘宝,C00455,2066641102,4.2,4.373333333333334,,30
淘宝,C00456,508346711,5.0,3.3333333333333335,,30
淘宝,C00460,510063962,0.0,0.0,,8
淘宝,C00461,2061159373,0.0,0.0,,30
淘宝,C00463,517161875,5.0,1.5,,30
淘宝,C00470,503226015,4.1,3.75,,30
淘宝,C00478,161623448,0.0,0.0,,30
淘宝,C00480,1348179882,0.0,0.0,,30
淘宝,C00485,506515589,0.0,0.0,,30
淘宝,C00489,507888241,0.0,0.0,,30
淘宝,C00492,503201099,0.0,0.0,,30
淘宝,C00495,335763220,0.0,0.0,,30
淘宝,C00503,2081680213,0.0,0.0,,30
淘宝,C00512,2098022809,0.0,0.0,,30
淘宝,C00516,161292787,0.0,0.0,,30
淘宝,C00525,1316209506,0.0,0.0,,30
淘宝,C00526,504105229,0.0,0.0,,30
淘宝,C00560,500702688,0.0,0.0,,30
淘宝,C00663,503788788,0.0,0.0,,1
淘宝,C00671,1109390636,0.0,0.0,,30
淘宝,C00682,506090819,4.2,4.623333333333333,,30
淘宝,C00696,1795721,4.7,4.433333333333334,,30
淘宝,C00700,507318754,5.0,5.0,,30
淘宝,C00703,155902355,3.9,4.180000000000001,,30
淘宝,C00707,2097211060,4.9,4.9,,30
淘宝,C00711,503800800,3.0,3.4099999999999997,,30
淘宝,C00712,1925002,4.4,4.523333333333334,,30
淘宝,C00716,500802932,4.4,4.3100000000000005,,30
淘宝,C00726,1167671,5.0,4.723333333333333,,30
淘宝,C00727,501100032,0.0,0.0,,30
淘宝,C00732,164159914,4.0,3.46,,30
淘宝,C00746,337652410,0.0,0.0,,30
淘宝,C00752,520560274,0.0,0.0,,30
淘宝,C00758,510051887,0.0,0.0,,6
淘宝,C00765,503773430,0.0,0.0,,30
淘宝,C00803,1138579834,0.0,0.0,,30
淘宝,C00808,1137966984,0.0,0.0,,30
淘宝,C00828,313597159,4.9,4.923333333333334,,30
淘宝,C00841,161078688,0.0,0.0,,5
淘宝,C00846,161622283,0.0,1.6066666666666667,,30
淘宝,C00871,1127675671,0.0,0.0,,30
淘宝,C00892,508945096,2.9,1.3366666666666667,,30
淘宝,C00893,508825081,5.0,2.8333333333333335,,30
淘宝,C00900,508026556,0.0,0.0,,30
淘宝,C00901,2099118402,0.0,3.5,,30
淘宝,C00908,502168874,0.0,2.5,,30
淘宝,C00925,336667479,0.0,0.0,,9
淘宝,C00927,1795737,4.3,3.756666666666667,,30
淘宝,C00930,1127670145,4.3,4.303333333333333,,30
淘宝,C00952,2130837994,4.6,4.413333333333333,,30
淘宝,C00986,1795726,0.0,0.0,,30
淘宝,C00996,168463116,0.0,0.0,,2
淘宝,C00999,301690045,0.0,0.0,,9
淘宝,C01038,507426915,0.0,0.0,,30
淘宝,C01055,170363346,0.0,0.0,,30
淘宝,C01058,540988292,0.0,0.0,,30
淘宝,C01065,507079575,5.0,5.0,,30
淘宝,C01066,305144990,4.0,3.873333333333333,,30
淘宝,C01072,1112408770,4.0,3.9,,30
淘宝,C01073,2042864264,4.8,4.753333333333333,,30
淘宝,C01075,506139281,0.0,0.0,,8
淘宝,C01078,156949146,4.1,4.066666666666666,,30
淘宝,C01079,526700302,0.0,0.0,,30
淘宝,C01081,301740568,0.0,0.11,,30
淘宝,C01083,1176331,0.0,0.0,,28
淘宝,C01088,167691384,4.7,3.98,,30
淘宝,C01091,501891288,0.0,0.0,,30
淘宝,C01093,836599,4.9,0.8166666666666667,,30
淘宝,C01095,1455706,4.2,4.1033333333333335,,30
淘宝,C01099,500835184,0.0,2.7133333333333334,,30
